4.837501759013294600e-01,3.116070278133455385e-01
4.990594095169044730e-01,7.164275594517350854e-01
8.623077939040580953e-01,3.977416797740859211e-01
6.909560831105326928e-02,2.726494331537777649e-01
8.631521106154812495e-01,8.993803467260762519e-01
3.887285233013014207e-01,9.229820806754560625e-01
2.644611370454569288e-01,3.497552126196272204e-01
7.596517091205379213e-01,2.322266373606647338e-01
9.276151867322995903e-02,7.771632397839947082e-01
8.377912306083092897e-01,6.346125432628955121e-01
6.251873744459770510e-01,8.825502762323430561e-01
9.208819688318831131e-01,1.323190996004435793e-01
3.706579391789928679e-01,5.649418980429478099e-01
3.547714252611802177e-01,1.162960884475858769e-01
6.057062347403240343e-01,1.099517532197070158e-01
6.187316737596451066e-01,4.985530566616512838e-01
2.661564567412333382e-01,7.724058852181275858e-01
1.428934111834788689e-01,5.553451891015495079e-01
1.209430934895012744e-01,9.411241355204464920e-01
1.219760493050965344e-01,7.052967512754132473e-02
